Shop #,Year,Make/Model,Original Assignment,Second Assignment,Third Assignment,Fourth Assignment,Notes,Image links
A-none,1911,Apperson “Jack Rabbit”,,,,,A-2 or A-3?; only one purchased,
A-none,1911,Overland,Assistant Fire Marshal,,,,,
A-none,1906,Buick,Chief Fire Marshal,,,,,
A-none,1914,Speedwell touring car,Assistant Fire Marshal,,,,Five purchased for Assistant Fire Marhsals ,
A-none,1914,Ford Model T,Battalion 17,,,,Twelve purchased; had brass radiators and a gong,
A-5,1921,Cadillac roadster,Assistant Fire Marshal,,,,,
A-11,1919,Pierce-Arrow touring car,,,,,,
A-23,1926,Cadillac coupe,Division Fire Marshal 6 (2 - 2 - 6),,,,,
A-25,1926,Cadillac coupe,Division Fire Marshal 3 (2 - 2 - 3),,,,,
A-27,1927,Cadillac sedan,Chief Fire Marshal,,,,,
A-47,1946?,Buick sedan,CFD Chaplain (2 - 5 - 9),,,,,
A-54,1947,Cadillac limousine,Fire Commissioner (1947 - 7/9/1966),,,,"Assigned to Commissioner Corrigan, it was retained for his use, with driver, after retirement; returned to repair shop for last time 7/9/1966",
A-63,1947,Buick,Division 7 (2 - 2 - 7)(1947 - 12/3/1953),,,,First buggy for Division 7,
A-74,1951,Buick Sedanette,Division Fire Marshal 6 (2 - 2 - 6),,,,,
A-83,1956,Buick,Chief Fire Marshal,,,,,
A-96,1958,Buick,Division Fire Marshal 4 (2 - 2 - 4),,,,,
A-100,1958,Buick Roadmaster sedan,Assistant Fire Commissioner,,,,"Assigned to AFC Albert Petersen, this vehicle was unmarked and painted black",
A-112,1962,Buick,Division Fire Marshal 2 (2 - 2 - 2),,,,,
A-122,1966,Oldsmobile Dynamic 88,Division Fire Marshal 2 (2 - 2 - 2) (1966 - at least 6/1970),,,,1966 buggies were first with rear-mounted dual-faced red lights,
A-124,1966,Oldsmobile 88,Division 7 (1966 - at least 8/1/1971),,,,,
A-144,1970,Buick LeSabre,Division Fire Marshal 3 (2 - 2 - 3),,,,,
A-165,1977,Ford Crown Victoria,Division Fire Marshal 3 (2 - 2 - 3),,,,,
