Shop #,Year,Make & Model,Original Assignment,Second Assignment,Third Assignment,Notes,Image links
B-13,1920,Ford Model T roadster,Battalion 13,,,,
B-32,1922,Ford Model T roadster,Shops instructor?,,,,
B-77,1927,Ford Model T roadster,Battalion 26,,,1927 models were last open cab buggies purchased by CFD,
B-105,1928,Ford Model A coupe,Battalion 14,,,,
B-114,1929,Ford Model A coupe,Battalion 11,,,,
B-115,1929,Ford Model A coupe,Battalion 12,,,,
B-128,1935,Ford coupe,Battalion 16,,,,
B-140,1936,Ford coupe,Battalion 13,,,,
B-141,1936,Ford coupe,Battalion 24,,,,
B-145,1936,Ford coupe,Battalion 23,,,,
B-161,1941,Studebaker coupe,Battalion 11,,,,
B-167,1945,Ford coupe,Battalion 25,,,,
B-190,1948,Ford coupe,Battalion 9,,,,
B-191,1948,Ford coupe,Battalion 20,,,,Battalion 20 (Bill Friedrich)
B-192,1948,Ford coupe,Battalion 24,,,,
B-193,1948,Ford coupe,Battalion 10,,,,
B-204,1951,Ford coupe,Battalion 14,,,Eight purchased,
B-206,1951,Ford coupe,Battalion 28,,,,
B-209,1953,Ford coupe,Battalion 25,,,,
B-211,1953,Ford coupe,Battalion 30 (1953 - at least 2/10/1958),,,,
B-213,1953,Ford coupe,Investigation,,,,
B-214,1953,Chevrolet coupe,Battalion 13,,,,
B-215,1953,Ford coupe,Battalion 24,,,,
B-218,1953,Chevrolet coupe,Battalion 17,,,,
B-220,1953,Chevrolet,Battalion 23,,,,
B-228,1956,Ford coupe,Battalion 20,,,,
B-246,1958,Chevrolet Yeoman station wagon,Battalion 30,,,,
B-251,1958,Chevrolet Yeoman station wagon,Battalion 25,,,Used as Ambulance 16 when normal Cadillac ambulance out for repairs,
B-255,1958,Ford station wagon,Battalion 24,,,,
B-261,1958,Ford station wagon,Ambulance 19 (1958 - at least 1961),,,Only ambulance to ever be assigned a station wagon as regular vehicle,
B-267,1960,Ford station wagon,Battalion 8 (1960 - at least 9/1965),,,,
B-269,1960,Ford station wagon,Battalion 16,,,,
B-271,1960,Ford station wagon,Battalion 26 (1960 - at least 1964),,,,
B-275,1960,Ford station wagon,Battalion 31 (1960 - at least 9/1964),,,First buggy for Battalion 31,
B-296,1965,Ford station wagon,Battalion 19,,,,
B-322,1968,Ford station wagon,Battalion 10 (1968 - 7/1972),,,Stolen from fire scene at 29th & Normal in summer of 1969; ended up in Lake Michigan & retrieved by CFD divers; dried out and returned to service,
B-327,1968,Ford station wagon,Battalion 9 (1968 - 6/16/1969),,,Last buggy for Battalion 9; Battalion 9 OOS 6/16/1969,
B-335,1968,Ford station wagon,Battalion 18,,,,
B-341,1970,Ford station wagon,Battalion 23,,,,
B-347,1970,Ford station wagon,Battalion 1,,,,Battalion 1 (Greg Reynolds)
B-354,1974,Dodge Monaco station wagon,Battalion 12,,,,
B-357,1974,Dodge Monaco station wagon,Battalion 13,,,,
B-372,1975?,Chevrolet Suburban,EMS 4-5-1,,,,
B-379,1975?,Dodge Monaco station wagon,,Reserve ambulance?,,Reserve by 1979,Spare ambulance (Tim Vermande)
B-412,1979,Chevrolet Suburban,Battalion 16,,,,
B-421,1980?,Chevrolet Suburban,,,Spare chief buggy,,
B-422,1981,Chevrolet Suburban Scottsdale,,6 - 4 - 5 Air Mask,,,
B-423,,,,,,,
B-424,,,,,,,
B-425,,,,,,,
B-426,,,,,,,
B-427,,,,,,,
