Shop #,Year,Make & Model,GPM/Gal/F/#,Original Assignment,Second Assignment,Third Assignment,Fourth Assignment,Fifth Assignment,Sixth Assignment,Seventh Assignment,Notes,Image links
C-1,1919,White,,Squad 1 (3/1919 - 3/1922),,,,,,,,
C-2,1919,White,,Squad 2 (5/1919 - 3/1922),,,,,,,,
C-3,1919,White,,Squad 3 (5/1919 - 4/1922),,,,,,,,
C-4,1916,White,,Squad 1 (8/1916 - 3/1919),Squad 4 (7/31/1919 - 3/1922),Drill School Company (1922 - 1923),Drill School Company (1924 - ?),Drill School Training (9/14/1928 - 6/14/1930),,,First apparatus for Squad 1,
C-5,1916,White,,Squad 2 (9/1916 - 5/1919),Squad 5 (8/16/1919 - 3/1922),Squad 6 (1922 - 7/24/1930),Engine Co. 58 Hose Wagon (1922 - 1926),Engine Co. 41 Hose Wagon (1926 - 8/27/1927),Engine Co. 41 Hose Wagon (7/10/1928 - 1/1/1932),High Pressure 4 (1/1/1932 - 2/21/1947),First apparatus for Squad 2; First apparatus for Squad 5; Former Squad converted to Hose Wagon; *Conflicts like crazy,
C-6,,,,,,,,,,,,
C-7,1919,White/CFD,,,Foamite 4 (6 - 3 - 4) (1/22/1932 - 8/5/1937),Chemical 1 (renamed from Foamite 4) (6 - 3 - 1) (8/5/1937 - 1/2/1942),Air Compressor 1 (9 - 3 - 1) (2/20/1942 - 7/13/1955),,,,,
C-8,1919,White,,Squad 8 (2/12/1920 - 5/21/1930),,,,,,,,
C-9,1919,White,,Squad 9 (12/24/1919 - 3/1922),,,,,,,First apparatus for Squad 9,
C-10,1919,White TBD,,Squad 10 (12/24/1919 - 5/29/1930),,,,,,,First apparatus for Squad 10,
C-11,1916,White,,Squad 3 (8/1916 - 5/1919),Squad 6 (9/16/1919 - 1922),Drill School Company (1923 - 1924),Drill School Training (7/23/1927 - 6/5/1928),,,,First apparatus for Squad 3; First apparatus for Squad 6,
C-12,1922,White GN,,Squad 5 (3/1922 - 7/1929),Squad 9 (6/1/1933 - 7/7/1933),High Pressure 8 (12/24/1935 - 5/30/1936),,,,,First & only apparatus for High Pressure 8 (C-12 wrecked 5/30/1936 & company OOS),
C-13,1920,White,,Drill School Company (1921 - 1922),High Pressure company (signature 6 - 1 - 1 given 12/1/1927) (1926 -4/26/1928) ,High Pressure 3 (8/14/1928 - 8/22/1931),High Pressure 7 (5/12/1932 - 3/27/1947),Drill School Training (9/28/1948 - 1/1/1949); ,High Pressure 4 (1/16/1950 - 11/28/1950) ,High Pressure 7 (1/22/1952 - 3/28/1953),"High Pressure 4 reorganized 1/16/1950; High Pressure 3 became second piece of Water Tower 3 on 6/1/1931, the first to be so assigned; High Pressure company to High Pressure 1 rename only (as second piece of Water Tower 1); High Pressure 7 OOS after rig tipped over at Augusta & Ashland 3/28/1953",
C-14,1922,White,,Water Tower 2 Hose Wagon (1/1/1926 - 7/10/1928),High Pressure 2 (7/10/1928- 6/20/1943),High Pressure 7 (3/27/1947 - 1/22/1952),High Pressure 4 (2/21/1947 - 2/25/1947),,,,Name change from Water Tower 2 Hose Wagon to High Pressure 2 only; first squad/high pressure unit with a deck gun; High Pressure 4 OOS 2/25/1947,
C-15,1922,White,,Squad 9 (3/1922 - 8/8/1927),High Pressure 5 (8/8/1927 - 12/22/1928?),High Pressure 7 (1/9/1929 - 9/26/1929),,,,,"Squad 9 became High Pressure 5, but retained Squad markings. Confusing.",
C-16,1922,White,,Squad 2 (3/1922 - 6/6/1930),,,,,,,,
C-17,1922,White,,Squad 7 (11/25/1927 - 7/15/1930),,High Pressure 7 (3/15/1932 - 5/1/1932),,,,,,
C-18,1922,White/CD,500 / 0,Squad 1 (3/1922 - 6/14/1930),Booster 2 (10/8/1947 - 5/20/1948),Booster 1 (5/20/1948 - 10/9/1948),,,,,,
C-19,1922,White,,Squad 4 (3/1922 - 7/25/1930),,,,,,,,
C-20,1922,White/CFD,,Squad 3 (4/1922 - 6/12/1930),Squad 7,Smoke Ejector 1 (9 - 2 - 1) (2/19/1932 - 9/6/1963),,,,,"As Smoke Ejector 1, carried: 3’ exhaust fan, eight 10’ x 14” rigid metal exhaust ducts; still stored at CFD shops as of 2000; in storage as part of Greater Chicago Fire Museum",9-2-1 (Chicago Tribune) 9-2-1 (Chicago Tribune) 9-2-1 (Chicago Tribune) Preserved 9-2-1 (Terry Spirek)
C-21,1929,White,,Squad 5 (7/1929 - 10/3/1930),,,,,,,,
C-22,1929,White,,Rescue Co. 1 (4 - 1 - 1) (12/16/1929 - 6/1/1933),Squad 9 (7/7/1933 - 1/1/1940),,,,,,First & only rig for Rescue Co. 1,
C-23,1929,White,,Rescue Co. 2 (4 - 1 - 2) (12/16/1929 - 6/1/1933),Squad 9 (1/1/1940 - 2/3/1941),,,,,,First & only rig for Rescue Co. 2; still in service as spare squad in 1953,
C-24,1929,White,,Rescue Co. 3 (4 - 1 - 3)(12/16/1929 - 6/1/1933),,,,,,,First & only rig for Rescue Co. 3,
C-25,1930,White/CFD,,Squad 10 (5/29/1930 - 1/22/1941),Chemical 1 (6 - 3 - 1) (1/16/1942 - 8/16/1961),,,,,,"Carried Du-Gas powder, foam, foam powder, and hopper; Restored",Restored Squad 10 (Bill Friedrich)
C-26,1930,White/CD,500 / 0,Squad 2 (6/6/1930 - 1/9/1941),,Booster 1 (10/9/1948 - 1/29/1953),Booster 2 (1/29/1953 - 5/1/1957),,,,Booster 2 OOS 5/1/1957,
C-27,1930,White/CFD,,Squad 3 (1/20/1936 - 1/13/1941),,,,,,,,
C-28,1930,White/CFD,,Squad 1 (6/26/1930 - 12/20/1940),Squad 11 (3/22/1946 - 12/9/1946),Squad 12 (5 - 2 - 2)(2/16/1947 - 1/31/1949),,,,,First rig for Squad 12,
C-29,1930,White,,Squad 7 (7/15/1930 - 1/20/1941),,,,,,,,
C-30,1930,White/CD,500 / 0,Squad 8 (7/24/1930 - 12/15/1935),Squad 6 (7/24/1930 - 1/22/1941),Booster 2 (4/25/1943 - 2/13/1947),,,,,*Conflict,
C-31,1930,White,,Squad 8 (? - 1/27/1941),,,,,,,,
C-32,1930,White,,Squad 4 (7/25/1930 - 1/15/1941),High Pressure 2 (6/20/1943 - 10/11/1954),,,,,,,
C-33,1930,White/CFD,,Squad 5 (10/3/1930 - 1/17/1941),Squad 11 (3/6/1946 - 3/12/1946),Squad 11 (12/14/1946 - 4/12/1947),Squad 11 (9/23/1947 - 2/10/1949),,,,First apparatus for Squad 11,
C-34,1940,Mack,,Squad 1 (12/30/1940 - 2/7/1949),Squad 11 (2/10/1949 - 8/23/1952),,,,,,,
C-35,1940,Mack,,Squad 2 (1/9/1941 - 8/26/1952),Squad 11 (8/26/1952? - 5/5/1954?),,,,,,,
C-36,1940,Mack,,Squad 3 (1/13/1941 - 3/25/1949),High Pressure 6 (9/21/1961 - 9/28/1962),,,,,,High Pressure 6 OOS 9/28/1962,
C-37,1940,Mack,,Squad 4 (1/15/1941 - 11/29/1952),,,,,,,,Squad 4 (Bill Friedrich)
C-38,1940,Mack,,Squad 5 (1/17/1941 - ?),Squad 13 (4/1/1949 - 4/6/1953),,,,,,First apparatus for Squad 13,
C-39,1940,Mack,,Squad 6 (1/22/1941 - 8/22/1952),Squad 4 (11/29/1952 - 5/21/1954),High Pressure 2 (10/11/1954 - 7/1956),High Pressure 8 (6/10/1959 - 5/11/1963),,,,HP8 OOS 5/11/1963,
C-40,1940,Mack,,Squad 7 (1/23/1941 - 8/23/1952),,,,,,,,
C-41,1940,Mack,,Squad 8 (1/27/1941 - 5/21/1954),High Pressure 7 (7/11/1955 - 4/27/1962),,,,,,High Pressure 7 reorganized 7/11/1955,
C-42,1940,Mack,,Squad 9 (2/3/1941 - 7/22/1954),,,,,,,,
C-43,1940,Mack,,Squad 10 (1/22/1941 - 6/17/1954),,,,,,,,
C-44,1948,Autocar,,Squad 12 (1/31/1949 - 7/9/1964),,,,,,,,
C-45,1948,Autocar,,Squad 1 (2/7/1949 - 4/27/1954),Squad 13 (6/3/1954 - 8/19/1966),,,,,,Squad 13 OOS 8/19/1966,Squad 1 (Chicago Tribune)
C-46,1949,Mack,,,Squad 6 (12/22/1955 - 11/30/1961),,Squad 6 (12/3/1962 - 8/18/1966),,,,,
C-47,1949,Mack,,Squad 3 (3/25/1949 - 5/5/1954),Spare Squad,Squad 6 (11/30/1961 - 12/3/1962),Squad 4 (8/25/1963 - 1966 or 1967),Squad 5 (3/30/1949 - 7/22/1954),,,*Conflict,
