Shop #,Year,Make & Model,GPM/Gal/F/#,Original Assignment,Second Assignment,Third Assignment,Fourth Assignment,Fifth Assignment,Sixth Assignment,Seventh Assignment,Additional assignments (in order) and notes,Image links
D-1,1921,Seagrave,750 / 0,Engine Co. 1 (4/26/1921- 10/8/1928),Engine Co. 16 (11/26/1928 - 2/21/1949),Engine Co. 112 (11/19/1949 - 6/29/1950),Engine Co. 82 (2/20/1951 - 3/14/1953),,,,*Shops numbering program started in January 1923,
D-2,1919,Seagrave,750 / 0,Engine Co. 2 (3/1919 - 6/1/1925),,Engine Co. 128 (3/1/1928 - 8/3/1949),Engine Co. 44 (11/1/1949 - 4/11/1950),,,,,Engine 2 (CAPCO)
D-3,1922,Ahrens-Fox,750 / 0,Engine Co. 3 (6/20/1922 - 6/2/1948),,,,,,,,
D-4,1922,Seagrave,750 / 0,Engine Co. 4 (1/1/1923 - 4/4/1950),,,,,,,First motorized apparatus for Engine 4,
D-5,1921,Seagrave,750 / 0,Engine Co. 5 (5/9/1921 - 8/17/1928),Engine Co. 85 (10/24/1928 - 1/3/1947),,,,,,,
D-6,1922,Seagrave,750 / 0,Engine Co. 6 (5/12/1922 - 8/29/1931),Engine Co. 2 (5/10/1931 - 9/3/1953),,,,,,First motorized apparatus for Engine 6; *Conflict,
D-7,1921,Ahrens-Fox,750 / 0,Engine Co. 7 (5/1921 - 4/26/1923),Engine Co. 65 (10/8/1921 - 3/10/1949),,,,,,*Conflict,
D-8,1922,Seagrave,750 / 0,Engine Co. 8 (10/1922 - 8/8/1931),Engine Co. 109 (8/29/1931 - 3/11/1949),,,,,,,
D-9,1921,Seagrave,750 / 0,Engine Co. 9 (12/2/1921 - 1/15/1948),Engine Co. 88 (1/15/1948 - 2/19/1949),Engine Co. 120 (8/7/1951 - 12/26/1953),,,,,,
D-10,1921,Ahrens-Fox,750 / 0,Engine Co. 10 (8/30/1921 - 1/6/1926),Engine Co. 69 (1/6/1926 - 7/9/1927),Engine Co. 10 (7/20/1927 - 10/12/1928),Engine Co. 69 (10/16/1928 - 6/3/1948),,,,,
D-11,1923,Ahrens-Fox,750 / 0,Engine Co. 11 (2/5/1923 - 8/4/1928),Engine Co. 51 (8/6/1928 - 2/11/1949),,,,,,,
D-12,1921,Seagrave,750 / 0,Engine Co. 12 (5/1921 - 4/13/1938),Engine Co. 71 (5/31/1938 - 12/9/1953),,,,,,,
D-13,1920,Seagrave,750 / 0,Engine Co. 13 (9/1920 - 5/2/1927),Engine Co. 57 (5/2/1927 - 4/15/1950),,,,,,,
D-14,1921,Ahrens-Fox,750 / 0,Engine Co. 14 (1/14/1923 - 7/17/1929),Engine Co. 124 (7/8/1929 - 7/18/1944),Engine Co. 107 (2/2/1945 - 11/25/1953),,,,,Re-powered with diesel engine in 1944--Engine 124 swapped rigs with Engine 107 due to Engine 107‘s shops proximity for ease of diesel delivery,
D-15,1920,Seagrave,750 / 0,Engine Co. 15 (9/1920 - 7/17/1929),Engine Co. 120 (8/8/1929 - 8/7/1951),,,,,,,
D-16,1921,Seagrave,750 / 0,Engine Co. 16 (4/25/1921 - 11/26/1928),Engine Co. 44 (2/12/1929 - 7/5/1949),,,,,,,
D-17,1922,Seagrave,750 / 0,Engine Co. 17 (12/1922 - 10/17/1928),Engine Co. 111 (11/1/1928   - 7/24/1950),,,,,,,
D-18,1921,Seagrave,750 / 0,Engine Co. 18 (5/9/1921 - 8/19/1938),Engine Co. 108 (8/23/1938  - 4/27/1949),Engine Co. 79 (11/2/1949 - 5/14/1951),Engine Co. 73 (6/14/1951 - 1/29/1953),,,,,
D-19,1919,Seagrave,750 / 0,Engine Co. 19 (9/29/1919 - 4/26/1927),Engine Co. 21 (4/26/1927 - 10/8/1928),Engine Co. 73 (12/6/1928 - 6/14/1951),,,,,,Engine 19 (CAPCO)
D-20,1922,Seagrave,750 / 0,Engine Co. 20 (10/1922 - 4/5/1949),Engine Co. 79 (6/10/1949 - 11/2/1949),,Engine Co. 82 (3/14/1953 - 1/6/1954),,,,,
D-21,1921,Seagrave,750 / 0,Engine Co. 27 (11/30/1921 - 1/10/1922),Engine Co. 21 (1/1922 - 4/26/1927),Engine Co. 19 (4/26/1927 - 9/16/1948),,,,,First motorized apparatus for Engine 27; first motorized apparatus for Engine 21,
D-22,1921,Ahrens-Fox,750 / 0,Engine Co. 22 (11/28/1921 - 5/27/1948),,Engine Co. 9 (8/28/1952 - 12/8/1952),,,,,First motorized apparatus for Engine 22,
