Shop #,Year,Make & Model,GPM/Gal/F/#,Original Assignment,Second Assignment,Third Assignment,Fourth Assignment,Fifth Assignment,Sixth Assignment,Seventh Assignment,Eighth Assignment,Ninth Assignment,Notes,Image links
E-1,1918,Mack AC (tractor),,Truck Co. 1 (4/1918 - 7/1920),Truck Co. 11 (1921 - 10/13/1926),Truck Co. 18 (10/1926 - 5/26/1928),Truck Co. 2 (6/19/1928 - 10/22/1928),Truck Co. 10 (10/22/1928 - 4/3/1937),Truck Co. 43 (11/16/1942 - 2/8/1943),Truck Co. 22 (4/18/1943 - 4/15/1944),Truck Co. 38 (4/20/1947 - 9/11/1954),,,
E-2,1921,Mack AC (tractor),,Truck Co. 19 (11/1921 - 10/19/1927),Truck Co. 2 (11/1/1921 - 10/10/1927),,,,,,,,*Conflict,
E-3,1920,Mack AC (tractor),,Truck Co. 3 (7/1920 - 5/1925),,Truck Co. 34 (10/1/1935 - 11/14/1947),,Truck Co. 32 (7/22/1950 - 9/18/1950),Spare truck,,,,Spare by 1952,
E-4,1921,Mack AC (tractor),,Truck Co. 4 (1921 - 7/17/1926),Truck Co. 14 (6/1926 - 10/28/1936),,,,,,,,,
E-5,1917,White (tractor),,Truck Co. 5 (1918 - 1925),,,,,,,,,,
E-6,1920,Mack AC (tractor),,Truck Co. 6 (8/1/1920 - 9/1/1924),Truck Co. 5 (1925 - 4/13/1938),,Truck Co. 32 (4/10/1945 - 3/22/1946),,,,,,,
E-7,1918,Mack AC (tractor),,Truck Co. 7 (4/1918 - 10/1926),Truck Co. 30 (11/1/1926 - 4/6/1939),,Truck Co. 20 (1/1/1944 - 4/15/1944),,,,,,,
E-8,1915,White (tractor),,Truck Co. 21 (10/1915 - 11/1/1921),Truck Co. 8 (11/1/1921 - 5/8/1925),,,,,,,,First motorized apparatus for Truck 21,
E-9,1921,Mack AC (tractor),,Truck Co. 9 (11/1921 - 7/17/1926),,Truck Co. 21 (3/15/1927 - 4/2/1927),,Truck Co. 54 (3/16/1950 - 6/26/1954),,,,,First apparatus for Truck 54,
E-10,1919,Mack AC (tractor),,Truck Co. 10 (7/1919 - 1/1923),,Truck Co. 3 (5/1925 - 4/18/1930),Truck Co. 26 (2/19/1931 - 7/9/1931),Truck Co. 41 (1/26/1931 - 1/31/1931),Truck Co. 42 (9/28/1931 - 5/15/1953),,,,,
E-11,1920,Mack AC (tractor),,Truck Co. 1 (7/1920 - 1923),,Truck Co. 25 (5/27/1927 - 10/31/1928),Truck Co. 13 (10/31/1928 - 12/10/1942),Truck Co. 34 (9/16/1950 - 6/2/1951),Truck Co. 34 (1/30/1952 - 8/1/1952),,,,,
E-12,1921,Mack AC (tractor),,Truck Co. 31 (11/1921 - 8/1922),Truck Co. 12 (11/1921 - 1923),Truck Co. 31 (1923 - 10/1926),Truck Co. 6 (1926 - 4/15/1927),Truck Co. 36 (3/19/1934 - 1/24/1945),,,,,,
E-13,1917,White (tractor),,Truck Co. 13 (1918 - 1923),Truck Co. 27 (12/1/1922 - 5/5/1927),,Truck Co. 13 (8/15/1927 - 10/31/1928) ,,,,,,,Truck 13 (CAPCO)
E-14,1916,White (tractor),,Truck Co. 12 (9/1916 - 11/1921),Truck Co. 14 (11/1/1921 - 6/1926),,,,,,,,,
E-15,1918,Mack AC (tractor),,Truck Co. 15 (4/1918 - 1924),Truck Co. 4 (8/10/1936 - 4/7/1938),Truck Co. 30 (4/6/1939 - 2/12/1947),Truck Co. 8 (1/29/1948 - 5/7/1948),,,,,,,Truck 4 (Bill Friedrich)
E-16,1915,White (tractor),,Truck Co. 16 (10/15/1915 - 9/19/1927),Truck Co. 45 (5/16/1928 - 7/10/1929),Truck Co. 52 (12/16/1929 - 4/22/1932),Truck Co. 36 (12/31/1932 - 3/19/1934),,,,,,First apparatus for Truck 52,
E-17,1916,Seagrave SF 1-piece,,Truck Co. 17 (11/1916 - 12/22/1938),,,,,,,,,One piece unit--2 purchased; had tiller steering,
E-18,1917,White (tractor),,Truck Co. 18 (7/1917 - 10/1926),Truck Co. 8 (8/3/1927 - 6/23/1928),Truck Co. 8 (10/24/1928 - 4/17/1929),Truck Co. 36 (4/18/1929 - 8/5/1931),,,,,,,
E-19,1921,Mack AC (tractor),,Truck Co. 19 (10/28/1927 - 6/1/1945),Truck Co. 39 (10/19/1927 - 1/25/1928),Truck Co. 44 (2/16/1928 - 1/10/1945),,,,,,,*Conflict,
