Shop #,Year,Make/Model,Original Assignment,Second Assignment,Notes,Image links
A-,1997,Ford Crown Victoria,,6 - 4 - 7 Equipment & Supply,,6-4-7 (Karl Klotz)
B-,2000?,Ford Expedition,Midway Training?,,,Midway buggy (Karl Klotz)
AVF-,2003,Ford Explorer,O’Hare Training,,,2-9-13 (Karl Klotz)
B-,2002,Ford Explorer,,Spare chief vehicle ,,Spare buggy (Karl Klotz)
B-,2002,Ford Explorer,Battalion 3,,,Battalion 3 (Karl Klotz)
B-,2003,Ford Explorer,Field Officer 4 - 5 - 7,,,4-5-7 (Karl Klotz)
B-,2002,Ford Explorer,Field Officer 4 - 5 - 6,,,4-5-6 (Karl Klotz)
B-,2002,Ford Explorer,Field Officer 4 - 5 - 3,,,4-5-3 (Karl Klotz)
C-,2004,Ford F-350/MedicMaster,Ambulance 29,,,Ambulance 29 (Karl Klotz)
B-,2002,Ford Explorer,Fire Prevention Bureau Supervisor 4 - 9 - 6,,,4-9-6 (Karl Klotz)
S-,?,Autocar/Challenger,Tow Truck 7 - 5 - 4,,,7-5-4 (Karl Klotz) 7-5-4 (Bill Friedrich)
,2003,Ford Explorer,Battalion 24,,,Battalion 24 (Karl Klotz)
E-,1968?,Seagrave,Truck Co. 12,,,Truck 12 (Bill Friedrich)
E-,1966,Mack C,,R-2,,R2 (Bill Friedrich)
E-,1959,Mack/Magirus,,,,OOS Mack (Bill Friedrich)
E-,,,,,,Truck 26 (Bill Friedrich)
E-,1966,Mack C,,,,RT3 (Bill Friedrich)
G-,,Ford C/Pierce,,,,9-1-6 (Smith Bros) 9-1-6 (columind99)
G-,1977?,GMC Bus,,,,2-9-0 (Smith Bros) 2-9-0 (chicagofd.org)
G-,,,,,,9-1-3 (Smith Bros)
C-,,,,,,8-8-4 (Smith Bros)
G-,,,,,,Squad 7B (Smith Bros)
G-,,,,,,7-6-4 (Smith Bros)
S-,,,,,,7-5-9 (Smith Bros)
G-,,,,,,6-8-7 (mbernero) 6-8-7 (Smith Bros)
,,,,,,De-Con 1 (Dave Traiforos)
AVF-,,,,,,6-5-4 (Dave Traiforos)
AVF-,,,,,,6-5-7R (David Traiforos)
AVF-,,,,,,6-5-9 (Dave Traiforos)
AVF-,,,,,,6-5-2R (David Traiforos)
AVF-,,,,,,6-5-1 (David Traiforos)
AVF-,,,,,,6-5-2 (David Traiforos)
AVF-,,,,,,6-5-8R (David Traiforos)
G-,,,,,,7-5-6 (Tim Vermande)
G-,,,,,,7-2-3 (Tim Vermande)
